CrR,NiR,CuR,AsR,CdR,PbR
26.77711111,4.512941176,14.34311111,3.673846154,5.32,78.6315
25.53777778,4.049411765,14.77688889,4.56,5.94,60.295
19.33244444,8.828235294,17.58933333,7.144615385,4.2,50.8245
16.05066667,6.136470588,24.80711111,8.663076923,3.58,67.27
18.63333333,7.204705882,26.02311111,9.673846154,2.9,83.0025
17.43444444,2.757647059,34.944,4.809230769,1.64,58.714
20.04022222,3.517647059,34.38933333,9.175384615,1.94,51.8785
4.535555556,9.590588235,26.26488889,5.243076923,4.34,152.055
3.680444444,9.277647059,31.00444444,4.975384615,7.2,264.12
3.215333333,11.06117647,28.72177778,8.723076923,5.58,168.33
21.51355556,11.75058824,50.27555556,4.56,11.12,240.87
25.08133333,13.14823529,52.58666667,3.683076923,15.88,275.745
2.995777778,6.995294118,20.07822222,3.078461538,3.92,55.769
2.727111111,5.162352941,19.09688889,3.184615385,2.3,48.794
14.84022222,3.948235294,25.56088889,7.250769231,17.4,118.606
11.77222222,10.85647059,30.42133333,6.424615385,20.32,152.6285
12.948,11.91294118,32.47288889,7.310769231,18.84,147.932
