ModelCat,Model,MSE,RMSE
General,CNN,2982.9538128561903,54.61642438732318
General,RNN,2719.0573752501577,52.14458145627557
General,GRU,8888.993654119058,94.28145975810439
General,LSTM,8736.738332840689,93.47052119700996
MA,CNN,4913.5403960936865,70.09665039139664
MA,RNN,8010.563956710049,89.50175393091494
MA,GRU,3219.677376166181,56.742201016229366
MA,LSTM,7613.2866030687965,87.25414948911482
AE,CNN,3536.491726573371,59.46840948414016
AE,RNN,8048.4004254348065,89.71287770122417
AE,GRU,7580.3195801915335,87.0650307539803
AE,LSTM,6030.227862596961,77.65454180276232
MA AE,CNN,3727.5712283569183,61.05383876839292
MA AE,RNN,8188.723960055593,90.49156844731775
MA AE,GRU,7662.919700134504,87.53810427542113
MA AE,LSTM,7929.964647395992,89.05034894595299
HY,LSTM,8022.6960984812395,89.56950428846439
HY,LSTM RNN GRU,7572.0166432604,87.0173353031475
HY,CNN RNN GRU,7241.533496062958,85.09720028334046
HY,CNN GRU,8012.628487527572,89.51328665358888
HY,RNN GRU,8063.65670773923,89.79786583064895
HY,RNN LSTM,8103.771124064982,90.02094825130972
MA HY,CNN LSTM,7902.486721717614,88.89593197507754
MA HY,LSTM RNN GRU,7454.8216991103545,86.34130934327064
MA HY,CNN RNN GRU,7040.533138106225,83.90788483871003
MA HY,CNN GRU,8114.594191854902,90.08104235550842
MA HY,RNN GRU,7904.6808303903545,88.90827200204913
MA HY,RNN LSTM,7980.3515130981195,89.33281319368668
